日期,沪深300主连,10年国债主连,沪金主连,豆粕主连,中证1000主连,30年国债主连,红利低波ETF,一天期国债逆回购,沪铜主连,沪铝主连,PTA主连,原油主连
2013-01-04,-0.1891252955,,-1.0138411355,-0.8547008547,,,,5.2560000000,0.8641548566,-0.3254149040,0.0700770848,
2013-01-07,0.0000000000,,0.5046906543,0.5849753695,,,,3.5530000000,-0.2398903358,-0.3264773098,1.3772175537,
2013-01-08,-0.0789515238,,-0.5937259999,0.7346189164,,,,2.8430000000,0.1374098248,-0.1637733377,-0.1842044670,
2013-01-09,-0.2291403287,,0.8290494161,-0.5773321179,,,,2.4790000000,0.0686106346,0.0328083990,-1.1072664360,
2013-01-10,0.4910113249,,-0.1886125192,-0.1222493888,,,,3.7520000000,0.7541995201,0.1639881929,-0.0933053417,
2013-01-11,-1.5446449681,,0.8001653478,-0.3059975520,,,,2.8360000000,-0.5784280367,-0.1309757695,-1.4475834695,
2013-01-14,3.5219723045,,-0.3046369255,3.1614487416,,,,2.9900000000,0.1368925394,-0.0983606557,0.9950248756,
2013-01-15,0.3788757442,,0.1615983546,0.2082713478,,,,2.6880000000,-1.4012303486,-0.6892024943,-1.7593244194,
2013-01-16,-1.0167924819,,0.7626870050,1.0985748219,,,,2.4410000000,0.4159445407,0.1652346332,0.1910219675,
2013-01-17,-0.3501945525,,-0.2940320233,-0.7048458150,,,,3.8290000000,-0.3451846738,0.0000000000,0.2383222116,
2013-01-18,1.3039428749,,0.5226429969,-0.1478852411,,,,3.0230000000,1.1084170419,0.2309468822,1.7593913457,
2013-01-21,-0.0842782715,,-0.0639014755,0.3554502370,,,,2.8810000000,-0.3254539226,-0.1974983542,-0.6542056075,
2013-01-22,-0.2147074611,,0.4185316515,1.1216056671,,,,2.7780000000,0.8592541674,0.0989445910,-0.7525870179,
2013-01-23,0.4995004995,,-0.1997105644,0.1751313485,,,,2.7680000000,-0.1703867780,-0.1317957166,0.1895734597,
2013-01-24,-0.9558036397,,-0.8932455555,-2.1561771562,,,,4.6860000000,-0.2730841441,-0.1979544705,0.3784295175,
2013-01-25,0.0849224118,,-0.4769847540,0.7444907683,,,,3.1890000000,0.3594044155,0.0000000000,0.6361922714,
2013-01-28,2.3758099352,,-0.4792708027,1.3597398758,,,,3.4310000000,-0.3569607343,-0.3305785124,0.9833762585,
2013-01-29,0.6253767330,,0.1772682956,-0.2916302129,,,,3.6520000000,0.3923575571,0.0331674959,0.2086714584,
2013-01-30,1.0482965182,,0.1268174713,1.9011406844,,,,4.0540000000,0.6966864911,0.1989389920,0.3701989820,
2013-01-31,0.0296406076,,0.5301914580,0.6888633754,,,,8.8500000000,0.7256159298,0.2300361485,-0.2305209774,
2013-02-01,1.7260537818,,-0.7705830648,0.3705815279,,,,4.0030000000,-0.0502596750,-0.2950819672,0.5776340111,
2013-02-04,0.1092339062,,0.4370035728,-0.5112184039,,,,4.5040000000,0.4860878310,0.0986517593,1.6310590397,
2013-02-05,0.8729177275,,0.4997795090,0.2569226377,,,,4.1370000000,-0.3336113428,-0.4599211564,-0.6555153707,
