日期,一天期国债逆回购
2013-01-04,5.2560000000
2013-01-07,3.5530000000
2013-01-08,2.8430000000
2013-01-09,2.4790000000
2013-01-10,3.7520000000
2013-01-11,2.8360000000
2013-01-14,2.9900000000
2013-01-15,2.6880000000
2013-01-16,2.4410000000
2013-01-17,3.8290000000
2013-01-18,3.0230000000
2013-01-21,2.8810000000
2013-01-22,2.7780000000
2013-01-23,2.7680000000
2013-01-24,4.6860000000
2013-01-25,3.1890000000
2013-01-28,3.4310000000
2013-01-29,3.6520000000
2013-01-30,4.0540000000
2013-01-31,8.8500000000
2013-02-01,4.0030000000
2013-02-04,4.5040000000
2013-02-05,4.1370000000
2013-02-06,4.7260000000
2013-02-07,21.5770000000
2013-02-08,4.4460000000
2013-02-18,3.1280000000
2013-02-19,2.7660000000
2013-02-20,2.3940000000
2013-02-21,3.3920000000
2013-02-22,2.8610000000
2013-02-25,3.0040000000
2013-02-26,4.9520000000
2013-02-27,6.5270000000
2013-02-28,13.7120000000
2013-03-01,4.8660000000
2013-03-04,3.9430000000
2013-03-05,3.5950000000
2013-03-06,2.6470000000
2013-03-07,3.6590000000
2013-03-08,2.5920000000
2013-03-11,2.2840000000
2013-03-12,1.9200000000
2013-03-13,1.7440000000
2013-03-14,5.8330000000
2013-03-15,3.5770000000
2013-03-18,3.2770000000
2013-03-19,3.1600000000
2013-03-20,2.3420000000
2013-03-21,3.4800000000
2013-03-22,2.3280000000
2013-03-25,2.5350000000
2013-03-26,2.6870000000
2013-03-27,3.7530000000
2013-03-28,11.9490000000
2013-03-29,6.6180000000
2013-04-01,3.3550000000
2013-04-02,9.2610000000
2013-04-03,3.2880000000
2013-04-08,2.9780000000
2013-04-09,2.6980000000
2013-04-10,2.5250000000
2013-04-11,3.8390000000
2013-04-12,2.6920000000
2013-04-15,2.6310000000
2013-04-16,2.6030000000
2013-04-17,2.7050000000
2013-04-18,4.8750000000
2013-04-19,5.6260000000
2013-04-22,5.3060000000
2013-04-23,5.0160000000
2013-04-24,4.5780000000
2013-04-25,20.1280000000
2013-04-26,7.2970000000
2013-05-02,6.9630000000
2013-05-03,3.3420000000
2013-05-06,3.2710000000
2013-05-07,2.7810000000
2013-05-08,2.6850000000
2013-05-09,5.1740000000
2013-05-10,3.1340000000
2013-05-13,2.8780000000
2013-05-14,2.7200000000
2013-05-15,2.7970000000
2013-05-16,7.1760000000
2013-05-17,6.7670000000
2013-05-20,6.8000000000
2013-05-21,5.8510000000
2013-05-22,4.4130000000
2013-05-23,8.0010000000
2013-05-24,4.2390000000
2013-05-27,4.1780000000
2013-05-28,3.7180000000
2013-05-29,3.7190000000
2013-05-30,9.1310000000
2013-05-31,5.6680000000
2013-06-03,4.3980000000
2013-06-04,4.1460000000
2013-06-05,4.5950000000
2013-06-06,23.7590000000
2013-06-07,11.2680000000
2013-06-13,16.7490000000
2013-06-14,14.1900000000
2013-06-17,5.8410000000
2013-06-18,4.6740000000
2013-06-19,6.1510000000
2013-06-20,19.1310000000
2013-06-21,9.2610000000
2013-06-24,9.1310000000
2013-06-25,8.4130000000
2013-06-26,7.2410000000
2013-06-27,19.1260000000
2013-06-28,15.8250000000
2013-07-01,4.3590000000
2013-07-02,2.9180000000
2013-07-03,2.4770000000
2013-07-04,4.3530000000
2013-07-05,3.0800000000
2013-07-08,3.0770000000
2013-07-09,3.0710000000
2013-07-10,3.1400000000
2013-07-11,6.4360000000
2013-07-12,3.7130000000
2013-07-15,3.4160000000
2013-07-16,3.1530000000
2013-07-17,2.9910000000
2013-07-18,6.6360000000
2013-07-19,3.4890000000
2013-07-22,3.6330000000
2013-07-23,3.8260000000
2013-07-24,3.9860000000
2013-07-25,10.0900000000
2013-07-26,7.2680000000
2013-07-29,6.5830000000
2013-07-30,5.1430000000
2013-07-31,4.3140000000
2013-08-01,5.6240000000
2013-08-02,3.7040000000
2013-08-05,3.5270000000
2013-08-06,3.8440000000
2013-08-07,3.5710000000
2013-08-08,5.9260000000
2013-08-09,3.8390000000
2013-08-12,3.9840000000
2013-08-13,3.9080000000
2013-08-14,3.6420000000
2013-08-15,5.8680000000
2013-08-16,4.0620000000
2013-08-19,3.8910000000
2013-08-20,3.7790000000
2013-08-21,3.7810000000
2013-08-22,6.4930000000
2013-08-23,4.7150000000
2013-08-26,4.4920000000
2013-08-27,4.2430000000
2013-08-28,3.9160000000
2013-08-29,6.1590000000
2013-08-30,4.2750000000
